--- TRAINING CONFIGURATION ---
{'model': {'modes1': 64, 'modes2': 64, 'modes3': 64, 'width': 32, 'n_vars': 5, 'n_layers': 4}, 'data': {'train_times': [1, 3], 'target_time': 5, 'simulation_dt': 20.0, 'grid_shape': (256, 256, 256)}, 'physics': {'kappa': 1e-06}, 'training': {'epochs': 4000, 'learning_rate': 0.001, 'weight_decay': 0.0001, 'scheduler_pct_start': 0.1}, 'loss_weights': {'physics': 2.0, 'data': 10.0, 'bc': 50.0, 'smooth': 0.001}}

Epoch 84/4000 | Total: 2.0246e+05 | Physics: 1.3029e+00 | Data: 2.0244e+04 | BC: 4.0497e-01 | Smooth: 2.3526e-01
Epoch 85/4000 | Total: 2.0245e+05 | Physics: 1.3028e+00 | Data: 2.0242e+04 | BC: 4.0497e-01 | Smooth: 2.3807e-01
Epoch 86/4000 | Total: 2.0244e+05 | Physics: 1.3028e+00 | Data: 2.0241e+04 | BC: 4.0497e-01 | Smooth: 2.4090e-01
Epoch 87/4000 | Total: 2.0242e+05 | Physics: 1.3028e+00 | Data: 2.0240e+04 | BC: 4.0496e-01 | Smooth: 2.4374e-01
Epoch 88/4000 | Total: 2.0241e+05 | Physics: 1.3028e+00 | Data: 2.0239e+04 | BC: 4.0496e-01 | Smooth: 2.4658e-01
Epoch 89/4000 | Total: 2.0240e+05 | Physics: 1.3028e+00 | Data: 2.0237e+04 | BC: 4.0496e-01 | Smooth: 2.4944e-01
Epoch 90/4000 | Total: 2.0238e+05 | Physics: 1.3028e+00 | Data: 2.0236e+04 | BC: 4.0496e-01 | Smooth: 2.5231e-01
Epoch 91/4000 | Total: 2.0237e+05 | Physics: 1.3027e+00 | Data: 2.0234e+04 | BC: 4.0495e-01 | Smooth: 2.5520e-01
Epoch 92/4000 | Total: 2.0235e+05 | Physics: 1.3027e+00 | Data: 2.0233e+04 | BC: 4.0495e-01 | Smooth: 2.5811e-01
Epoch 93/4000 | Total: 2.0234e+05 | Physics: 1.3027e+00 | Data: 2.0231e+04 | BC: 4.0495e-01 | Smooth: 2.6104e-01
Epoch 94/4000 | Total: 2.0232e+05 | Physics: 1.3027e+00 | Data: 2.0230e+04 | BC: 4.0495e-01 | Smooth: 2.6400e-01
Epoch 95/4000 | Total: 2.0230e+05 | Physics: 1.3027e+00 | Data: 2.0228e+04 | BC: 4.0494e-01 | Smooth: 2.6700e-01
Epoch 96/4000 | Total: 2.0228e+05 | Physics: 1.3026e+00 | Data: 2.0226e+04 | BC: 4.0494e-01 | Smooth: 2.7004e-01
Epoch 97/4000 | Total: 2.0226e+05 | Physics: 1.3026e+00 | Data: 2.0224e+04 | BC: 4.0493e-01 | Smooth: 2.7314e-01
Epoch 98/4000 | Total: 2.0224e+05 | Physics: 1.3026e+00 | Data: 2.0222e+04 | BC: 4.0493e-01 | Smooth: 2.7628e-01
Epoch 99/4000 | Total: 2.0222e+05 | Physics: 1.3026e+00 | Data: 2.0220e+04 | BC: 4.0493e-01 | Smooth: 2.7949e-01
Epoch 100/4000 | Total: 2.0220e+05 | Physics: 1.3025e+00 | Data: 2.0218e+04 | BC: 4.0492e-01 | Smooth: 2.8277e-01
Epoch 101/4000 | Total: 2.0218e+05 | Physics: 1.3025e+00 | Data: 2.0215e+04 | BC: 4.0492e-01 | Smooth: 2.8612e-01
Epoch 102/4000 | Total: 2.0215e+05 | Physics: 1.3025e+00 | Data: 2.0213e+04 | BC: 4.0491e-01 | Smooth: 2.8954e-01
Epoch 103/4000 | Total: 2.0213e+05 | Physics: 1.3025e+00 | Data: 2.0210e+04 | BC: 4.0491e-01 | Smooth: 2.9305e-01
Epoch 104/4000 | Total: 2.0210e+05 | Physics: 1.3024e+00 | Data: 2.0208e+04 | BC: 4.0490e-01 | Smooth: 2.9664e-01
Epoch 105/4000 | Total: 2.0207e+05 | Physics: 1.3024e+00 | Data: 2.0205e+04 | BC: 4.0490e-01 | Smooth: 3.0032e-01
Epoch 106/4000 | Total: 2.0204e+05 | Physics: 1.3024e+00 | Data: 2.0202e+04 | BC: 4.0489e-01 | Smooth: 3.0408e-01
Epoch 107/4000 | Total: 2.0201e+05 | Physics: 1.3023e+00 | Data: 2.0199e+04 | BC: 4.0488e-01 | Smooth: 3.0793e-01
Epoch 108/4000 | Total: 2.0198e+05 | Physics: 1.3023e+00 | Data: 2.0196e+04 | BC: 4.0488e-01 | Smooth: 3.1187e-01
Epoch 109/4000 | Total: 2.0195e+05 | Physics: 1.3023e+00 | Data: 2.0192e+04 | BC: 4.0487e-01 | Smooth: 3.1589e-01
Epoch 110/4000 | Total: 2.0191e+05 | Physics: 1.3023e+00 | Data: 2.0189e+04 | BC: 4.0486e-01 | Smooth: 3.1998e-01
Epoch 111/4000 | Total: 2.0188e+05 | Physics: 1.3022e+00 | Data: 2.0185e+04 | BC: 4.0486e-01 | Smooth: 3.2413e-01
Epoch 112/4000 | Total: 2.0184e+05 | Physics: 1.3022e+00 | Data: 2.0181e+04 | BC: 4.0485e-01 | Smooth: 3.2832e-01
Epoch 113/4000 | Total: 2.0180e+05 | Physics: 1.3022e+00 | Data: 2.0177e+04 | BC: 4.0484e-01 | Smooth: 3.3256e-01
Epoch 114/4000 | Total: 2.0175e+05 | Physics: 1.3021e+00 | Data: 2.0173e+04 | BC: 4.0483e-01 | Smooth: 3.3682e-01
Epoch 115/4000 | Total: 2.0171e+05 | Physics: 1.3021e+00 | Data: 2.0169e+04 | BC: 4.0483e-01 | Smooth: 3.4112e-01
Epoch 116/4000 | Total: 2.0166e+05 | Physics: 1.3020e+00 | Data: 2.0164e+04 | BC: 4.0482e-01 | Smooth: 3.4545e-01
Epoch 117/4000 | Total: 2.0161e+05 | Physics: 1.3020e+00 | Data: 2.0159e+04 | BC: 4.0481e-01 | Smooth: 3.4985e-01
Epoch 118/4000 | Total: 2.0156e+05 | Physics: 1.3020e+00 | Data: 2.0154e+04 | BC: 4.0480e-01 | Smooth: 3.5435e-01
Epoch 119/4000 | Total: 2.0150e+05 | Physics: 1.3019e+00 | Data: 2.0148e+04 | BC: 4.0479e-01 | Smooth: 3.5901e-01
Epoch 120/4000 | Total: 2.0145e+05 | Physics: 1.3019e+00 | Data: 2.0142e+04 | BC: 4.0478e-01 | Smooth: 3.6387e-01
Epoch 121/4000 | Total: 2.0139e+05 | Physics: 1.3018e+00 | Data: 2.0136e+04 | BC: 4.0477e-01 | Smooth: 3.6901e-01
Epoch 122/4000 | Total: 2.0132e+05 | Physics: 1.3018e+00 | Data: 2.0130e+04 | BC: 4.0476e-01 | Smooth: 3.7449e-01
Epoch 123/4000 | Total: 2.0125e+05 | Physics: 1.3018e+00 | Data: 2.0123e+04 | BC: 4.0475e-01 | Smooth: 3.8034e-01
Epoch 124/4000 | Total: 2.0118e+05 | Physics: 1.3017e+00 | Data: 2.0116e+04 | BC: 4.0474e-01 | Smooth: 3.8663e-01
