time,depth,temperature,salinity,SA,CT,STH_pred,rho_pred,N2
2013-11-16,165.72845,11.993741035461426,35.166683197021484,35.33379523,11.95762539,26.72777664,27.47042222999994,3.18234512356598e-05
2013-11-16,184.69746,11.429454803466797,35.10843276977539,35.27540631,11.3930173,26.78915961,27.61890100000005,2.223391199444032e-05
2013-11-16,207.42545,10.917510986328123,35.05305480957031,35.21991735,10.88024419,26.84012824,27.774107689999937,1.3499334118418368e-05
2013-11-16,235.38617,10.466651916503906,34.997554779052734,35.16428112,10.42792717,26.87761071,27.93959995,1.270820707474944e-05
2013-11-16,270.53412,9.988446235656738,34.947418212890625,35.11406815,9.94751413,26.92188255,28.14499019999994,1.0522084639514027e-05
2013-11-16,315.37408,9.474445343017578,34.895145416259766,35.06176291,9.43052481,26.96808528,28.39707199999998,9.74106422481856e-06
2013-11-16,372.96545,8.817636489868164,34.82708740234375,34.9936921,8.77030527,27.02185713,28.7166610700001,1.050120766096842e-05
2013-11-16,446.80093,7.795400619506836,34.718650817871094,34.88509442,7.74540394,27.09344797,29.13339335000001,9.396656744316977e-06
2013-11-16,540.5022,6.5718255043029785,34.598907470703125,34.76518766,6.51921555,27.17120964,29.65330130999996,5.745185977183833e-06
2013-11-16,657.32294,5.627017498016357,34.516090393066406,34.68249805,5.56922047,27.22741566,30.258770570000024,6.460134087031125e-06
2013-11-16,799.5496,4.724622249603272,34.48227310180664,34.64906423,4.65999945,27.3071684,31.008552810000083,6.8403291226786275e-06
2013-11-16,967.99585,4.191100120544434,34.54576110839844,34.71304861,4.1151176,27.41663662,31.904352120000112,
2013-12-16,5.0215898,24.992769241333008,35.98395156860352,36.15389147,24.95460329,24.08931086,24.11073359000011,6.375959807308734e-05
2013-12-16,15.07854,24.74274063110352,35.97140121459961,36.14129848,24.70272405,24.15668118,24.22105411999996,-7.54054412928495e-06
2013-12-16,25.16046,24.78581428527832,35.977256774902344,36.14719952,24.7434027,24.14870106,24.256091409999957,1.140322108666843e-05
2013-12-16,35.27829,24.79300880432129,35.99529266357422,36.16534208,24.74771933,24.16083556,24.31139151999992,1.3851370555963904e-05
2013-12-16,45.44776,24.89646339416504,36.05569076538086,36.2260769,24.84671087,24.1757136,24.369574580000062,0.00020966680069262812
2013-12-16,55.691494,24.08649444580078,36.02951431274414,36.19982442,24.03540635,24.40096155,24.63911353999993,0.0003803736582427879
2013-12-16,66.041985,22.56599807739257,35.98649597167969,36.1566274,22.51440995,24.8135809,25.097391730000027,0.0003356395384554476
2013-12-16,76.54591,21.093000411987305,35.92826461791992,36.09815461,21.04175605,25.18269047,25.513297689999945,0.0003238595823175584
2013-12-16,87.27029,19.40859603881836,35.813655853271484,35.98312591,19.3598648,25.54567456,25.924908890000097,0.00032508196666463426
2013-12-16,98.31118,17.503625869750977,35.67608642578125,35.84503064,17.45840767,25.92006404,26.350406909999947,0.00023764954081536408
2013-12-16,109.806175,15.915681838989258,35.557796478271484,35.726291,15.87329,26.20434916,26.688091360000044,0.0001880240104875169
2013-12-16,121.9519,14.633305549621582,35.4945182800293,35.66282488,14.59210361,26.4417326,26.98184070000002,9.562258656130968e-05
